Family,Taxon,FemState,FemState.bin,FemState.N,Countries,Other_division,Sources
Coenagrionidae,Ischnura_asiatica,MH,M,M,"HKG,JPN,KOR,PRK,TWN","Amur,Buryat,Yevrey,Zabaykal'ye,Kamchatka,Primor'ye,Maga Buryatdan,Sakha,Sakhalin,Khabarovsk,Chukot,Shanghai,Liaoning,Anhui,Hebei,Beijing,Tianjin,Heilongjiang,Jilin,Shaanxi,Henan,Shandong,Jiangsu,Hubei,Jiangxi,Sichuan,Guangxi,Guangdong,Zhejiang,Guizhou,Xizang","GBIF (2017), Haritonov & Malikova (1998), Seehausen & Fiebig (2016), Yu & Chen (2015)"
Coenagrionidae,Ischnura_aurora,FP,P,D,"BGD,BTN,FJI,FSM,GUM,IDN,LAO,LKA,MMR,MNP,NCL,NPL,PAK,PHL,PYF,SLB,TON,TWN,VUT,WSM","Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Fujian,Guangdong,Hainan,Himachal Pradesh,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Nagaland,New South Wales,Northern Territory,Odisha,Punjab,Queensland,Rajasthan,Sikkim,Tamil Nadu,Tasmania,Uttar Pradesh,Victoria,West Bengal,Western Australia",IUCN (2017)
Coenagrionidae,Ischnura_barberi,FP,P,D,MEX,"Arizona,California,New Mexico,Oklahoma,Texas,Utah",Paulson (2009)
Coenagrionidae,Ischnura_capreolus,FP,P,D,"ARG,BLZ,COL,CRI,ECU,SLV,GTM,GUF,GUY,HND,MEX,NIC,PAN,PER,PRY,SUR,TTO,VEN","Bahia,Espírito Santo,Mato Grosso,Pará,Pernambuco,Rio de Janeiro,Rio Grande do Sul,São Paulo",Heckman (2008)
Coenagrionidae,Ischnura_cardinalis,MH,M,M,PYF,,Muséum national d’Histoire naturelle (2017)
Coenagrionidae,Ischnura_cervula,FP,P,D,MEX,"Alberta,British Columbia,Saskatchewan,Arizona,California,Colorado,Idaho,Montana,New Mexico,Nevada,Oregon,Utah,Washington,Wyoming",Paulson (2009)
Coenagrionidae,Ischnura_cruzi,MH,M,M,COL,,Heckman (2008)
Coenagrionidae,Ischnura_damula,FP,P,D,,"Alberta,British Columbia,Manitoba,Saskatchewan,Yukon,Arizona,Colorado,North Dakota,Nebraska,New Mexico,Texas,Utah,Wyoming",Paulson (2009)
Coenagrionidae,Ischnura_demorsa,FP,P,D,MEX,"Arizona,Kansas,New Mexico,Oklahoma,Texas",Paulson (2009)
Coenagrionidae,Ischnura_denticollis,FP,P,D,"GTM,MEX","Arizona,California,Idaho,Kansas,New Mexico,Nevada,Oklahoma,Oregon,Texas,Utah",Paulson (2009)
Coenagrionidae,Ischnura_elegans,FP,P,T,"ALB,AUT,BEL,BIH,BLR,BGR,CHE,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HRV,HUN,IDN,IRL,IRN,ISR,ITA,JOR,JPN,KOR,LBN,LIE,LKA,LTU,LUX,LVA,MDA,MKD,MNE,MNG,MYS,NLD,NOR,NPL,PAK,PRK,POL,PSE,ROU,SRB,SVK,SVN,SWE,SYR,TUR,UKR","Himachal Pradesh,Jammu and Kashmir,Uttar Pradesh,West Bengal","Dijkstra & Lewington (2006), IUCN (2017)"
Coenagrionidae,Ischnura_erratica,FP,P,D,,"British Columbia,California,Oregon,Washington",Paulson (2009)
Coenagrionidae,Ischnura_evansi,FP,P,D,"AFG,ARE,BHR,EGY,IRN,IRQ,ISR,JOR,KAZ,KGZ,KWT,OMN,PSE,QAT,SAU,SDN,SYR,TJK,TKM,YEM",,IUCN (2017)
Coenagrionidae,Ischnura_ezoin,MH,M,M,JPN,,Ozono et al. (2012)
Coenagrionidae,Ischnura_fluviatilis,FP,P,D,"ARG,BOL,CHL,ECU,GUF,GUY,PRY,URY,VEN","Mato Grosso,Pará,Rio de Janeiro,Rio Grande do Sul,São Paulo","FSCA, Heckman (2008), IUCN (2017)"
Coenagrionidae,Ischnura_fountaineae,FP,P,D,"ARE,AZE,DZA,EGY,GEO,IRN,IRQ,ISR,JOR,KAZ,KGZ,LBR,LBY,MAR,OMN,PSE,QAT,SAU,SYR,TKM,TUN,TUR",Dagestan,"IUCN (2017), Schtoter (2010), Seehaunsen et al. (2016)"
Coenagrionidae,Ischnura_foylei,FP,P,D,,Jambi,
Coenagrionidae,Ischnura_gemina,FP,P,D,,California,Paulson (2009)
Coenagrionidae,Ischnura_graellsii,FP,P,T,"DZA,ESP,FRA,MAR,PRT,TUN",,"Dijkstra & Lewington (2006), IUCN (2017)"
Coenagrionidae,Ischnura_hastata,MH,M,M,"BLZ,COL,CRI,CUB,DOM,SLV,GTM,GUY,HND,MEX,NIC,PAN,TTO,VEN","Alabama,Arkansas,Arizona,Connecticut,Florida,Georgia,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Michigan,Missouri,Mississippi,North Carolina,Nebraska,New Jersey,New Mexico,New York,Ohio,Oklahoma,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Virginia,West Virginia","Esquivel (2006), Heckman (2008), Paulson (2011)"
Coenagrionidae,Ischnura_heterosticta,FP,P,D,"FJI,IDN,NCL,PLW,PNG,SLB,TON,VUT","New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia",IUCN (2017)
Coenagrionidae,Ischnura_intermedia,MH,M,M,"CYP,IRN,SYR,TKM","Gaziantep,Adiyaman,Kilis,Sanliurfa,Diyarbakir,Mardin,Batman,Siirt,Sirnak,Adana,Antalya,Mersin,Burdur,Hatay,Isparta,Osmaniye,Karaman,Mugla,K. Maras","IUCN (2017), Knifj et al. (2016)"
